Date,Open,High,Low,Close,Adj Close,Volume,Sentiment_DecisionTreeClassifier,Sentiment_LogisticRegression,Sentiment_KNeighborsClassifier,Sentiment_MultinomialNB,Sentiment_SGDClassifier,Sentiment_GradientBoostingClassifier,Sentiment_XGBClassifier,Sentiment_RandomForestClassifier,Sentiment_VADER
2017-07-18,40.445,41.637501,40.325001,41.490002,40.992184,77664000,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.648
2017-07-19,41.5825,41.849998,41.1525,41.275002,40.779766,68704400,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6366
2017-07-20,41.482498,41.877499,40.977501,41.875,41.372574,69959600,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
2017-07-21,41.6675,42.325001,41.522499,42.025002,41.520767,64833200,,,,,,,,,
2017-07-24,42.0975,42.195,41.43,41.537498,41.039124,65252400,,,,,,,,,
2017-07-25,41.305,41.482498,40.895,41.337502,40.841526,49655600,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.5
2017-07-26,41.919998,42.482498,41.462502,41.814999,41.313286,64040400,,,,,,,,,
2017-07-27,42.067501,42.185001,39.389999,40.435001,39.949856,78285600,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.5
2017-07-28,40.072498,41.345001,39.82,41.0975,40.604401,51334800,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.648
2017-07-31,41.235001,41.599998,40.154999,40.627499,40.140038,55967200,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5
2017-08-01,40.532501,41.139999,40.25,41.122501,40.629101,43138400,,,,,,,,,
2017-08-02,41.4375,41.477501,40.317501,41.0975,40.604401,47844400,,,,,,,,,
2017-08-03,41.092499,41.657501,40.919998,41.619999,41.120628,44242000,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.5
2017-08-04,41.849998,42.517502,41.619999,41.802502,41.300941,58909600,,,,,,,,,
2017-08-07,42.0975,43.092499,42.0,43.087502,42.57053,71741200,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.28925
2017-08-08,43.4725,43.639999,42.177502,42.575001,42.064171,75533600,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.5
2017-08-09,42.107498,43.052502,41.9175,43.0275,42.511246,53078400,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.5
2017-08-10,43.040001,43.165001,41.0825,41.185001,40.690842,132808800,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2706
2017-08-11,39.285,39.75,38.227501,38.990002,38.522182,149719600,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.23665000000000003
2017-08-14,39.9175,42.137501,39.799999,42.099998,41.594868,127902000,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.5
2017-08-15,42.1525,42.4175,41.397499,41.744999,41.244137,76453200,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.5
2017-08-16,41.897499,42.134998,40.959999,41.287498,40.792122,59663200,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.5
2017-08-17,41.202499,41.375,40.345001,40.3675,39.883156,52544400,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.13655
2017-08-18,40.9175,41.09,39.91,40.375,39.890564,60120400,,,,,,,,,
2017-08-21,40.622501,40.737499,39.342499,39.787498,39.310108,62367200,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5
2017-08-22,40.122501,40.697498,39.927502,40.637501,40.185268,45045600,,,,,,,,,
2017-08-23,40.299999,41.5625,40.212502,41.450001,40.988724,57952000,,,,,,,,,
2017-08-24,41.775002,41.82,41.029999,41.297501,40.837936,46970000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8243
2017-08-25,41.5425,41.645,40.887501,40.952499,40.496769,35720000,,,,,,,,,
2017-08-28,41.145,41.275002,40.5825,41.2425,40.783531,38949600,,,,,,,,,
2017-08-29,40.647499,41.395,40.564999,41.174999,40.716782,32409600,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.76335
