Date,Open,High,Low,Close,Adj Close,Volume,Sentiment_DecisionTreeClassifier,Sentiment_finbert,Sentiment_LogisticRegression,Sentiment_KNeighborsClassifier,Sentiment_MultinomialNB,Sentiment_SGDClassifier,Sentiment_GradientBoostingClassifier,Sentiment_XGBClassifier,Sentiment_RandomForestClassifier,Sentiment_Random
2016-06-29,118.839996,119.410004,118.099998,119.330002,97.573334,8341500,,,,,,,,,,
2016-06-30,119.18,121.410004,119.160004,121.300003,99.184166,11559900,,,,,,,,,,
2016-07-01,121.300003,121.540001,120.790001,121.290001,99.17598,7051400,,,,,,,,,,
2016-07-05,121.360001,123.230003,121.339996,122.269997,99.97731,9334100,,,,,,,,,,
2016-07-06,121.93,122.660004,121.540001,122.639999,100.279869,9332400,1.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
2016-07-07,122.589996,122.809998,122.010002,122.510002,100.173561,6058700,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2016-07-08,123.0,123.099998,121.959999,122.849998,100.451569,6129900,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2016-07-11,122.709999,123.449997,122.410004,122.93,100.516991,6711600,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2016-07-12,122.650002,123.199997,122.610001,122.919998,100.508789,6415900,,,,,,,,,,
2016-07-13,122.68,123.400002,122.300003,123.0,100.574203,5230800,,,,,,,,,,
2016-07-14,122.980003,123.739998,122.910004,123.18,100.72142,5322700,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
2016-07-15,123.769997,124.300003,122.709999,123.0,100.574203,7192800,,,,,,,,,,
2016-07-18,123.0,123.220001,122.440002,123.139999,100.688698,6599200,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
2016-07-19,124.779999,125.75,123.339996,125.25,102.414009,11325700,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2016-07-20,125.839996,126.07,125.040001,125.139999,102.324043,7334600,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
2016-07-21,125.209999,125.739998,124.889999,125.150002,102.33223,5492600,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2016-07-22,125.120003,125.349998,124.650002,125.029999,102.2341,5839200,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2016-07-25,125.07,125.129997,124.139999,124.889999,102.119621,4880600,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2016-07-26,125.029999,125.550003,124.75,125.150002,102.33223,5589900,,,,,,,,,,
2016-07-27,125.099998,125.230003,124.339996,124.769997,102.021523,4812600,,,,,,,,,,
2016-07-28,124.980003,125.0,124.410004,124.459999,101.768044,4320400,,,,,,,,,,
2016-07-29,124.339996,125.32,124.339996,125.230003,102.397636,7020900,,,,,,,,,,
2016-08-01,125.309998,125.709999,125.099998,125.400002,102.536621,4615100,,,,,,,,,,
2016-08-02,125.650002,125.900002,124.480003,124.849998,102.086922,7158700,,,,,,,,,,
2016-08-03,125.0,125.0,123.690002,123.900002,101.310135,5310600,,,,,,,,,,
2016-08-04,124.239998,124.389999,123.639999,123.860001,101.277428,4728200,,,,,,,,,,
2016-08-05,124.379997,124.379997,123.760002,124.239998,101.588104,5146900,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2016-08-08,124.0,124.150002,123.230003,123.650002,101.105705,5232500,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
2016-08-09,123.910004,124.0,123.330002,123.43,100.925812,3941500,,,,,,,,,,
2016-08-10,123.589996,123.779999,123.239998,123.360001,100.868591,4333500,,,,,,,,,,
2016-08-11,123.849998,124.139999,123.470001,123.769997,101.203812,4052000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2016-08-12,123.470001,123.769997,122.949997,123.220001,100.754105,4234800,,,,,,,,,,
2016-08-15,123.120003,123.269997,122.279999,122.309998,100.01001,6469500,,,,,,,,,,
2016-08-16,122.110001,122.32,120.059998,120.330002,98.391014,11289100,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
2016-08-17,120.5,121.330002,119.849998,121.309998,99.192345,10442800,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
